time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:36:34.339724,3707,1682087793,934607365,map,18.053308486938477,-7.197246551513672,81.23826599121094,-0.015831704341299723,-0.02284087934807626,0.9246595408931101,0.37977951996026876
2023/04/21/09:36:34.339748,3708,1682087793,942123253,map,17.803966522216797,-6.930326461791992,81.24317932128906,-0.013547980812095593,-0.018317428495793445,0.9258588926877603,0.3771819886131181
2023/04/21/09:36:34.434017,3709,1682087794,36736393,map,17.628408432006836,-6.742449760437012,81.2460708618164,-0.010207142952477192,-0.012411324183284625,0.9269815161446965,0.3747627595085927
2023/04/21/09:36:34.434039,3710,1682087794,39588363,map,17.434703826904297,-6.531905651092529,81.2498550415039,-0.007422596201475113,-0.008663237172732678,0.9276608811958437,0.37324956120650615
2023/04/21/09:36:34.434064,3711,1682087794,41782935,map,17.196882247924805,-6.273307800292969,81.2542953491211,-0.006494195753394107,-0.006856502081631023,0.9280500651949932,0.3723357332370929
2023/04/21/09:36:34.434092,3712,1682087794,44634442,map,17.01962661743164,-6.08050537109375,81.2576675415039,-0.00681537214931755,-0.007331272871102862,0.9285093183297922,0.3711743978997995
2023/04/21/09:36:34.935453,3713,1682087794,137547057,map,16.770429611206055,-5.809395790100098,81.26248168945312,-0.00866485657483684,-0.009985804826255181,0.9287065445073989,0.37057989552812903
2023/04/21/09:36:34.935489,3714,1682087794,139874537,map,16.594985961914062,-5.618363380432129,81.26545715332031,-0.009921982643808547,-0.011330597327946312,0.9287300203020195,0.3704508840248372
2023/04/21/09:36:34.935501,3715,1682087794,145625902,map,16.417415618896484,-5.425226211547852,81.26821899414062,-0.012736782229803812,-0.014705020298927323,0.9284912162583567,0.3708444512962319
2023/04/21/09:36:34.935706,3716,1682087794,148797010,map,16.22483253479004,-5.212838172912598,81.26936340332031,-0.015053309260357637,-0.01767007290595554,0.9282737174466162,0.37117254343846506
2023/04/21/09:36:34.935722,3717,1682087794,335589559,map,15.988188743591309,-4.951961040496826,81.27001190185547,-0.016883054678589814,-0.02077047353153142,0.927966066525911,0.37170213966342863
2023/04/21/09:36:34.935810,3718,1682087794,344962854,map,15.797260284423828,-4.74216890335083,81.27017211914062,-0.019755324373661905,-0.026861661037146215,0.9272456504443143,0.37296616579711883
2023/04/21/09:36:34.935899,3719,1682087794,345980230,map,15.56265926361084,-4.484569072723389,81.26898956298828,-0.025425945106235318,-0.03780762499081108,0.9258724007527082,0.3750790926800913
2023/04/21/09:36:34.935914,3720,1682087794,346463843,map,15.387277603149414,-4.292465686798096,81.26722717285156,-0.027952218644899704,-0.04403170101587234,0.9249349494747046,0.37653048262883665
2023/04/21/09:36:35.434432,3721,1682087794,439484866,map,15.196982383728027,-4.083950519561768,81.2644271850586,-0.033228264532981173,-0.05695589711011386,0.9230391631552604,0.37901270019846156
2023/04/21/09:36:35.434444,3722,1682087794,540221657,map,14.164454460144043,-2.9642045497894287,81.23357391357422,-0.046926664648597904,-0.11201138755251536,0.9127392741693194,0.3900747727928732
2023/04/21/09:36:35.434457,3723,1682087794,543691149,map,13.98733139038086,-2.77716326713562,81.22750854492188,-0.04573750975710926,-0.11726324575936314,0.9116734857376002,0.39116357340387947
2023/04/21/09:36:35.434473,3724,1682087794,545637507,map,13.803037643432617,-2.5853683948516846,81.22200012207031,-0.04431716359647015,-0.1189673350408897,0.9114375055327878,0.3913622957946083
2023/04/21/09:36:35.434484,3725,1682087794,735090584,map,13.542932510375977,-2.3181560039520264,81.2151107788086,-0.04211651595085643,-0.11865420766405604,0.9119308133211834,0.3905504421251672
