time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2023/04/21/09:36:12.744160,1304,1682087772,639151183,,14.321671485900879,14.983124732971191,158,0.5400000214576721,350.1083068847656,1.913582682609558
2023/04/21/09:36:13.040221,1305,1682087772,735566869,,14.328476905822754,15.006916046142578,157,0.5400000214576721,350.4898986816406,1.6775238513946533
2023/04/21/09:36:13.040238,1306,1682087772,835244571,,14.345732688903809,15.03165340423584,157,0.5400000214576721,350.70855712890625,1.6504108905792236
2023/04/21/09:36:13.040249,1307,1682087772,935754742,,14.362526893615723,15.052956581115723,157,0.5400000214576721,350.87628173828125,1.633741021156311
2023/04/21/09:36:13.237890,1308,1682087773,36852441,,14.393500328063965,15.04067325592041,156,0.5400000214576721,351.0856628417969,1.9840036630630493
2023/04/21/09:36:13.238081,1309,1682087773,134082900,,14.433154106140137,15.06168270111084,156,0.5400000214576721,351.351806640625,2.216567277908325
2023/04/21/09:36:13.335157,1310,1682087773,235667723,,14.492761611938477,15.114297866821289,155,0.5400000214576721,351.57989501953125,2.3353962898254395
2023/04/21/09:36:13.345032,1311,1682087773,335379000,,14.554869651794434,15.188211441040039,155,0.5400000214576721,351.846923828125,2.426846504211426
2023/04/21/09:36:13.546325,1312,1682087773,436146291,,14.620231628417969,15.275113105773926,155,0.5400000214576721,352.1102600097656,2.4330735206604004
2023/04/21/09:36:13.637147,1313,1682087773,539934776,,14.646706581115723,15.35787582397461,156,0.5400000214576721,352.4049072265625,2.155940532684326
2023/04/21/09:36:13.744825,1314,1682087773,640327250,,14.684648513793945,15.412442207336426,157,0.5400000214576721,352.63092041015625,2.100738286972046
2023/04/21/09:36:13.934510,1315,1682087773,743992346,,14.74255657196045,15.499715805053711,157,0.5400000214576721,352.9029846191406,2.103342056274414
2023/04/21/09:36:14.038628,1316,1682087773,941054421,,14.835555076599121,15.640190124511719,156,0.5400000214576721,353.14373779296875,2.0850329399108887
2023/04/21/09:36:14.244531,1317,1682087774,39371448,,14.989344596862793,15.847058296203613,156,0.5400000214576721,353.393310546875,2.0905988216400146
2023/04/21/09:36:14.244551,1318,1682087774,239183384,,15.236564636230469,16.198392868041992,157,0.5400000214576721,353.81573486328125,1.6650786399841309
2023/04/21/09:36:14.634269,1319,1682087774,543416780,,15.319073677062988,16.31993293762207,158,0.5299999713897705,354.02093505859375,1.467995285987854
2023/04/21/09:36:14.938257,1320,1682087774,835347798,,15.517312049865723,16.5444393157959,163,0.49000000953674316,354.7830505371094,1.6903624534606934
2023/04/21/09:36:15.137457,1321,1682087774,945422282,,15.621841430664062,16.698183059692383,161,0.46000000834465027,354.99664306640625,1.763314127922058
2023/04/21/09:36:15.235005,1322,1682087775,139365932,,16.013822555541992,17.350177764892578,146,0.4399999976158142,355.5564270019531,1.584989070892334
2023/04/21/09:36:15.342746,1323,1682087775,144170595,,16.19548225402832,17.61446762084961,142,0.4399999976158142,355.7169189453125,1.4393982887268066
2023/04/21/09:36:15.343043,1324,1682087775,239413682,,16.35325813293457,17.88914680480957,137,0.4399999976158142,355.8779602050781,1.1889171600341797
2023/04/21/09:36:15.839465,1325,1682087775,339876042,,16.514877319335938,18.194957733154297,131,0.4399999976158142,356.02606201171875,0.8859965801239014
2023/04/21/09:36:15.839736,1326,1682087775,542040189,,16.686765670776367,18.444320678710938,127,0.44999998807907104,356.1302490234375,0.6770499348640442
2023/04/21/09:36:15.839762,1327,1682087775,735387751,,16.820768356323242,18.67035484313965,124,0.44999998807907104,356.2240295410156,0.46068042516708374
2023/04/21/09:36:15.839956,1328,1682087775,836023883,,16.985116958618164,18.950742721557617,121,0.44999998807907104,356.31072998046875,0.3993109166622162
2023/04/21/09:36:18.045627,1329,1682087775,937854019,,17.297473907470703,19.450403213500977,115,0.4399999976158142,356.544921875,0.5869334936141968
2023/04/21/09:36:18.045717,1330,1682087776,39552365,,15.827969551086426,18.068193435668945,96,0.4399999976158142,356.701171875,0.7599785327911377
2023/04/21/09:36:18.045883,1331,1682087776,137156821,,15.862954139709473,18.139101028442383,93,0.4399999976158142,356.8075256347656,0.9009959101676941
2023/04/21/09:36:18.046032,1332,1682087776,239443217,,15.878887176513672,18.18500328063965,89,0.4399999976158142,356.9107666015625,1.0395643711090088
2023/04/21/09:36:18.046056,1333,1682087776,338017004,,15.875855445861816,18.209985733032227,86,0.4399999976158142,357.0551452636719,1.1338247060775757
2023/04/21/09:36:18.134930,1334,1682087776,440612853,,15.80718994140625,18.18695640563965,84,0.4399999976158142,357.1763916015625,1.0949064493179321
2023/04/21/09:36:18.134961,1335,1682087776,540468586,,15.750174522399902,18.159868240356445,82,0.4399999976158142,357.32318115234375,1.0446542501449585
2023/04/21/09:36:18.134983,1336,1682087776,742488491,,15.680242538452148,18.1346492767334,82,0.4399999976158142,357.45855712890625,1.0295829772949219
2023/04/21/09:36:18.135212,1337,1682087776,836700909,,15.630595207214355,18.1025390625,81,0.4399999976158142,357.58447265625,1.115875005722046
2023/04/21/09:36:18.135486,1338,1682087776,936743686,,15.478633880615234,17.96546745300293,78,0.4399999976158142,357.9221496582031,1.4522300958633423
2023/04/21/09:36:18.135514,1339,1682087777,36574707,,15.379792213439941,17.876611709594727,75,0.4399999976158142,358.0973815917969,1.4311118125915527
2023/04/21/09:36:18.135535,1340,1682087777,136865824,,15.265443801879883,17.789188385009766,73,0.4399999976158142,358.25091552734375,1.4916998147964478
2023/04/21/09:36:18.135750,1341,1682087777,236172048,,15.142219543457031,17.65778160095215,70,0.4399999976158142,358.4553527832031,1.5856493711471558
2023/04/21/09:36:18.135779,1342,1682087777,336921869,,15.01343822479248,17.547121047973633,67,0.4399999976158142,358.63494873046875,1.3671001195907593
2023/04/21/09:36:18.135800,1343,1682087777,437267701,,14.85462474822998,17.377479553222656,64,0.4399999976158142,358.7967529296875,1.2836859226226807
2023/04/21/09:36:18.136069,1344,1682087777,537058463,,14.666247367858887,17.16547966003418,60,0.4399999976158142,358.9624328613281,1.4582545757293701
2023/04/21/09:36:18.136103,1345,1682087777,635800623,,14.418915748596191,16.944299697875977,57,0.4399999976158142,359.1229248046875,1.4882482290267944
2023/04/21/09:36:18.136235,1346,1682087777,736129450,,14.193110466003418,16.707239151000977,54,0.4399999976158142,359.2992248535156,1.4454959630966187
2023/04/21/09:36:18.136276,1347,1682087777,844485425,,13.946876525878906,16.445587158203125,51,0.4399999976158142,359.4892578125,1.6107295751571655
2023/04/21/09:36:18.136643,1348,1682087777,941415163,,13.730789184570312,16.194738388061523,49,0.4399999976158142,359.7210998535156,1.72877836227417
2023/04/21/09:36:22.344890,1349,1682087778,45171009,,13.530704498291016,15.98812198638916,47,0.4399999976158142,359.9380798339844,1.7742232084274292
